tipo,oggetto,numero_atto,data_atto,doc_principale_url,allegati,data_atto_normalizzata
"579

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Ricorso da Iozzo Sud S.r.l. alla Corte di Giutizia Tributaria di Secondo Grado. Atto di indirizzo conferimento incarico legale.,68,06/05/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12669,"allegati/fonte2/68/Delibera_n_68_Documento_Principale.pdf,allegati/fonte2/68/Del.G.C.n.68_26.pdf",2026-05-06
"578

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Tariffa conferimento rifiuti solidi urbani anno 2009- Comune di Squillace- Ingiunzione amministrativa ex Art. 40/bis legge regionale n°8/22. Atto di indirizzo conferimento incarico legale.,67,06/05/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12668,"allegati/fonte2/67/Delibera_n_67_Documento_Principale.pdf,allegati/fonte2/67/Del.G.C.n.67_26.pdf",2026-05-06
"577

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Concessione patrocinio e contributo per la ristampa del libro ""Squillace- Santuario della Madonna del Ponte"".",66,06/05/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12667,"allegati/fonte2/66/Delibera_n_66_Documento_Principale.pdf,allegati/fonte2/66/Del.G.C.n.66_26.pdf",2026-05-06
"576

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Approvazione schema di rendiconto esercizio finanziario 2025 e relazione sulla gestione ai sensi degli artt. 227 e 231 del D.Lgs. n. 267/2000.,65,06/05/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12666,"allegati/fonte2/65/Delibera_n_65_Documento_Principale.pdf,allegati/fonte2/65/Del.G.C.n.65_26.pdf",2026-05-06
"575

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Deliberazione di Giunta comunale n. 1 in data 12.01.2026 ad oggetto: ""Utilizzo a scavalco della prestazione lavorativa della dipendente del Comune di Belcastro- dott.ssa Giuseppina Riccelli. Determinazioni"". Integrazione.",18,23/01/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12665,"allegati/fonte2/18/Delibera_n_18_Documento_Principale.pdf,allegati/fonte2/18/Del.G.C.n.18_26.pdf",2026-01-23
"568

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Adozione del Piano Integrato di Attività e Organizzazione  (PIAO)- Art. 6, D.L. n. 80/2021 e art. 6 D.M. 132/2022-2026-2028.",64,06/05/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12653,"allegati/fonte2/64/Delibera_n_64_Documento_Principale.pdf,allegati/fonte2/64/Del.G.C.n.64_26.pdf,allegati/fonte2/64/Allegato - allegatin.64_26_compressed.pdf",2026-05-06
"557

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Riaccertamento ordinario dei residui al 31 Dicembre 2025 (Art. 3, comma 4, D.Lgs. n. 118/2011).",63,04/05/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12625,"allegati/fonte2/63/Delibera_n_63_Documento_Principale.pdf,allegati/fonte2/63/Del.G.C.n.63_26.pdf,allegati/fonte2/63/Allegato - 2 Allegato A elenco residui attivi e passivi es 2025.PDF,allegati/fonte2/63/Allegato - 3 Allegato B variazione al bilancio dell’esercizio 2025.PDF,allegati/fonte2/63/Allegato - 4 Allegato C variazione al bilancio 2026-2028 - esercizio 2026.PDF",2026-05-04
"543

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Deliberazione della Giunta Comunale n. 36 del 04/03/2026 avente ad oggetto ""Concessione in comodato d'uso gratuito locali posti nell'immobile dell' ex Liceo artistico ed approvazione dello schema di convenzione"". Sospensione prudenziale dell'attuazione e della sottoscrizione della convenzione. Avvio di ricognizione generale delle assegnazioni, concessioni, comodati e utilizzazioni gratuite o agevolate di beni e locali comunali. Indirizzi agli uffici.",62,28/04/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12593,"allegati/fonte2/62/Delibera_n_62_Documento_Principale.pdf,allegati/fonte2/62/Del.G.C.n.62_26.pdf",2026-04-28
"542

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Iscrizione all'Albo comunale delle Associazioni- ODV ""Spazio Aperto"".",61,28/04/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12592,"allegati/fonte2/61/Delibera_n_61_Documento_Principale.pdf,allegati/fonte2/61/Del.G.C.n.61_26.pdf",2026-04-28
"541

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","""Realizzazione di nuovi impianti di videosorveglianza a tutela della legalità e della sicurezza urbana nel Comune di Squillace (CZ)- Annualità 2026"". Richiesta di finanziamento a valere sulle risorse finanziarie della Regione Calabria Programma Operativo Complementare POC 2014-2020, Asse 9: Inclusione sociale OT9 ""Promuovere l'inclusione sociale e combattere la povertà e ogni discriminazione""- Obiettivo Specifico: 9.6. Aumento della legalità nelle aree ad alta esclusione sociale e miglioramento del tessuto urbano nelle aree a basso tasso di legalità. Azione 9.6.7 Interventi di miglioramento del tessuto urbano e delle aree ad alta esclusione sociale anche ai fini di contrastare lo spopolamento. Richiesta finanziamento ed approvazione progetto esecutivo. CUP: C85G26000000002.",60,28/04/2026,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=12591,"allegati/fonte2/60/Delibera_n_60_Documento_Principale.pdf,allegati/fonte2/60/Del.G.C.n.60_26.pdf",2026-04-28
