"id_fonte","numero_pubblicazione","tipo_atto","numero_atto","data_atto","oggetto","data_pubblicazione","data_scadenza","url_documento","allegati"
"1","0317/2024","Determine Dirigenziali","","2024-04-11","Liquidazione di spesa - Lavori per l’abbattimento di n° 2 alberature pericolanti o comunque incombenti sulle pubbliche strade a tutela della pubblica incolumità e rimozione ceppaie.-","2024-04-11","2024-04-26","http://albosquillace.asmenet.it/allegati.php?id_doc=11080443&sez=&data1=11/04/2024&data2=26/04/2024","allegati/fonte1/0317/2024/- Det_n°220_del_10.04.2024.pdf"
"1","0316/2024","avvisi vari","","2024-04-10","Programma di sviluppo rurale della Regione Calabria 2014-2022- Avviso pubblico finalizzato all' individuazione di un agronomo.-","2024-04-10","2024-04-26","http://albosquillace.asmenet.it/allegati.php?id_doc=10110405&sez=&data1=10/04/2024&data2=26/04/2024","allegati/fonte1/0316/2024/- Prot 2866.pdf"
"1","0315/2024","avvisi vari","","2024-04-10","Revisione semestrale delle liste elettorali","2024-04-10","2024-04-30","http://albosquillace.asmenet.it/allegati.php?id_doc=10110407&sez=&data1=10/04/2024&data2=30/04/2024","allegati/fonte1/0315/2024/- Revisione semestrale delle liste elettorali.pdf"
"1","0314/2024","Determine Dirigenziali","","2024-04-10","Impegno di spesa ed affidamento lavori per la manutenzione straordinaria di riparazione della rete idrica su viale Cassiodoro e slla strada provinciale SP122.-","2024-04-10","2024-04-25","http://albosquillace.asmenet.it/allegati.php?id_doc=10100426&sez=&data1=10/04/2024&data2=25/04/2024","allegati/fonte1/0314/2024/- Det_n°219_del_10.04.2024.pdf"
"1","0313/2024","Determine Dirigenziali","","2024-04-10","Affidamento dell’incarico professionale relativo ai servizi tecnici per direzione lavori, contabilità, misura, certificato di regolare esecuzione e coordinamento della sicurezza in fase di esecuzione per i lavori di Riqualificazione e messa in sicurezza di via Fuori le Porte.-","2024-04-10","2024-04-25","http://albosquillace.asmenet.it/allegati.php?id_doc=10100412&sez=&data1=10/04/2024&data2=25/04/2024","allegati/fonte1/0313/2024/- Det_n° 218_del_09.04.2024.pdf"
"1","0312/2024","Determine Dirigenziali","","2024-04-09","Acquisto di dispositivo PC.-","2024-04-09","2024-04-24","http://albosquillace.asmenet.it/allegati.php?id_doc=9110431&sez=&data1=09/04/2024&data2=24/04/2024","allegati/fonte1/0312/2024/- Det_n°216_del_09.04.2024.pdf"
"1","0311/2024","Determine Dirigenziali","","2024-04-09","Impegno di spesa ed affidamento per il servizio di disinfestazione contro processionaria (Pest Control).-","2024-04-09","2024-04-24","http://albosquillace.asmenet.it/allegati.php?id_doc=9090408&sez=&data1=09/04/2024&data2=24/04/2024","allegati/fonte1/0311/2024/- Det_n°215_del_08.04.2024.pdf"
"1","0310/2024","avvisi vari","","2024-04-08","Relazione di fine mandato 2019.2024","2024-04-08","2024-07-07","http://albosquillace.asmenet.it/allegati.php?id_doc=8140431&sez=&data1=08/04/2024&data2=07/07/2024","allegati/fonte1/0310/2024/- relazione di fine mandato 2019.2024.pdf"
"1","0309/2024","Determine Dirigenziali","","2024-04-08","Bando di Concorso per la formazione della graduatoria generale per l’assegnazione degli alloggi di Edilizia Residenziale Pubblica (E.R.P.) ai sensi della Legge Regionale n. 32 del 25/11/1996 e s.m.i. - Presa d’atto e Pubblicazione della graduatoria definitiva trasmessa dalla Commissione Assegnazione Alloggi di Catanzaro (approvata nella seduta n. 2 del 04/04/2024) ai sensi della L.R. n. 32/96 e s.m.i.-","2024-04-08","2024-05-08","http://albosquillace.asmenet.it/allegati.php?id_doc=8090405&sez=&data1=08/04/2024&data2=08/05/2024","allegati/fonte1/0309/2024/- Det_n° 213_del_05.04.2024.pdf,allegati/fonte1/0309/2024/- Graduatoria definitiva All. A.pdf,allegati/fonte1/0309/2024/- Graduatoria definitiva All. B.pdf"
"1","0308/2024","avvisi vari","","2024-04-08","Pubblicazione Graduatoria Generale Definitiva per l'assegnazione di alloggi ERP.-","2024-04-08","2024-05-08","http://albosquillace.asmenet.it/allegati.php?id_doc=8090441&sez=&data1=08/04/2024&data2=08/05/2024","allegati/fonte1/0308/2024/- Pubblicazione Graduatoria Generale Definitiva per"
